"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-23","0.00","0.0","0.0",,"53","31"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-24","0.02","0.0","0.0",,"36","21"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-25","0.85","0.1","0.0",,"35","21"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-26","0.00","0.0","0.0",,"35","10"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-27","0.00","0.0","0.0",,"37","8"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-28","0.00","0.0","0.0",,"37","20"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-29","0.00","0.0","0.0",,"35","19"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-30","0.00","0.0","0.0",,"38","17"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-01-31","0.18","4.0","2.0",,"28","10"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-01","0.01","0.1","3.0",,"24","8"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-02","0.00","0.0","2.0",,"34","9"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-03","0.00","0.0","1.0",,"44","15"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-04","0.25","0.0","0.0",,"52","30"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-05","0.00","0.1","0.0",,"38","24"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-06","0.00","0.0","0.0",,"51","21"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-07","0.00","0.0","0.0",,"39","25"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-08","0.00","0.0","0.0",,"47","21"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-09","0.00","0.0","0.0",,"53","26"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-10","0.00","0.0","0.0",,"71","26"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-11","0.00","0.0","0.0",,"61","41"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-12","0.00","0.0","0.0",,"51","32"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-13","0.00","0.0","0.0",,"53","29"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-14","0.00","0.0","0.0",,"57","22"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-15","0.39","0.0","0.0",,"49","42"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-16","0.00","0.0","0.0",,"66","42"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-17","0.00","0.0","0.0",,"66","30"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-18","0.00","0.0","0.0",,"68","50"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-19","0.00","0.0","0.0",,"71","54"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-20","0.09","0.0","0.0",,"74","55"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-21","0.33","0.0","0.0",,"66","44"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-22","0.01","0.1","0.0",,"52","22"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-23","0.01","0.7","1.0",,"28","18"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-24","0.00","0.0","0.0",,"45","20"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-25","0.00","0.0","0.0",,"61","33"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-26","0.39","0.0","0.0",,"58","45"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-27","0.00","0.0","0.0",,"58","43"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-02-28","0.00","0.0","0.0",,"70","44"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-01","0.00","0.0","0.0",,"70","36"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-02","0.00","0.0","0.0",,"51","42"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-03","0.00","0.0","0.0",,"64","40"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-04","0.00","0.0","0.0",,"76","42"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-05","0.00","0.0","0.0",,"77","45"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-06","0.02","0.0","0.0",,"81","47"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-07","0.44","0.0","0.0",,"76","60"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-08","0.16","0.0","0.0",,"68","52"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-09","0.00","0.0","0.0",,"75","50"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-10","0.00","0.0","0.0",,"77","48"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-11","0.00","0.0","0.0",,"83","58"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-12","0.44","0.0","0.0",,"65","33"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-13","0.00","0.0","0.0",,"59","29"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-14","0.00","0.0","0.0",,"71","35"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-15","0.03","0.0","0.0",,"66","43"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-16","0.44","0.0","0.0",,"62","26"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-17","0.00","0.0","0.0",,"40","22"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-18","0.00","0.0","0.0",,"45","26"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-19","0.00","0.0","0.0",,"63","28"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-20","0.00","0.0","0.0",,"73","31"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-21","0.14","0.0","0.0",,"76","44"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-22","0.00","0.0","0.0",,"83","44"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-23","0.00","0.0","0.0",,"72","48"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-24","0.00","0.0","0.0",,"58","41"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-25","0.00","0.0","0.0",,"64","38"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-26","0.00","0.0","0.0",,"76","45"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-27","0.00","0.0","0.0",,"84","49"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-28","0.00","0.0","0.0",,"59","37"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-29","0.00","0.0","0.0",,"61","29"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-30","0.00","0.0","0.0",,"73","44"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-03-31","0.00","0.0","0.0",,"77","56"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-01","0.08","0.0","0.0",,"77","56"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-02","0.00","0.0","0.0",,"80","52"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-03","0.00","0.0","0.0",,"78","54"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-04","0.17","0.0","0.0",,"75","58"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-05","0.44","0.0","0.0",,"66","50"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-06","0.00","0.0","0.0",,"64","44"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-07","0.00","0.0","0.0",,"67","40"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-08","0.00","0.0","0.0",,"60","37"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-09","0.00","0.0","0.0",,"67","33"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-10","0.00","0.0","0.0",,"76","34"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-11","0.00","0.0","0.0",,"79","40"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-12","0.00","0.0","0.0",,"81","45"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-13","0.00","0.0","0.0",,"80","55"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-14","0.00","0.0","0.0",,"81","48"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-15","0.00","0.0","0.0",,"86","49"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-16","0.00","0.0","0.0",,"85","51"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-17","0.01","0.0","0.0",,"81","55"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-18","0.00","0.0","0.0",,"86","47"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-19","0.05","0.0","0.0",,"66","44"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-20","0.00","0.0","0.0",,"70","34"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-21","0.00","0.0","0.0",,"72","36"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-22","0.00","0.0","0.0",,"78","41"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-23","0.00","0.0","0.0",,"80","42"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-24","0.00","0.0","0.0",,"78","47"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-25","0.40","0.0","0.0",,"69","46"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-26","0.00","0.0","0.0",,"76","57"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-27","0.00","0.0","0.0",,"68","51"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-28","0.72","0.0","0.0",,"72","49"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-29","0.00","0.0","0.0",,"80","58"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-04-30","0.00","0.0","0.0",,"68","53"
"USW00003812","ASHEVILLE REGIONAL AIRPORT, NC US","2026-05-01","0.00","0.0","0.0",,"65","47"
